Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,Household Appliances,Mobile/Desktop Split,Mobile,percent,Statista,46.078,46.994,47.565,47.908,48.11,48.227,48.294,48.332,48.354,,
Montenegro,Household Appliances,Users,Total,million users,Statista,0.054,0.067,0.083,0.101,0.12,0.14,0.157,0.171,0.184,0.201,0.216
Montenegro,Household Appliances,Users,Major Appliances,million users,Statista,0.021,0.027,0.033,0.04,0.048,0.056,0.063,0.068,0.074,0.08,0.086
Montenegro,Household Appliances,Users,Other Household Appliances,million users,Statista,0.011,0.013,0.017,0.02,0.024,0.028,0.031,0.034,0.037,0.04,0.043
Montenegro,Household Appliances,Users,Small Appliances,million users,Statista,0.043,0.054,0.066,0.081,0.096,0.112,0.125,0.136,0.147,0.16,0.173
Montenegro,Household Appliances,Penetration Rate,Household Appliances,percent,Statista,8.545,10.747,13.215,16.074,19.084,22.257,24.981,27.178,29.379,32.002,34.508
Montenegro,Household Appliances,Penetration Rate,Major Appliances,percent,Statista,3.418,4.299,5.286,6.43,7.634,8.903,9.992,10.871,11.751,12.796,13.794
Montenegro,Household Appliances,Penetration Rate,Other Household Appliances,percent,Statista,1.709,2.149,2.643,3.215,3.817,4.451,4.996,5.436,5.876,6.398,6.896
Montenegro,Household Appliances,Penetration Rate,Small Appliances,percent,Statista,6.836,8.597,10.572,12.86,15.268,17.806,19.985,21.743,23.503,25.598,27.598
Montenegro,"Beauty, Health, Personal & Household Care",Revenue,Total,million USD (US$),Statista,6.036,7.008,8.249,10.1,12.51,13.48,17.96,21.36,25.44,27.73,30.42
Montenegro,"Beauty, Health, Personal & Household Care",Revenue,Beauty Care,million USD (US$),Statista,1.455,1.678,1.958,2.366,2.892,3.071,4.028,4.711,5.533,6.023,6.586
Montenegro,"Beauty, Health, Personal & Household Care",Revenue,Health Care,million USD (US$),Statista,0.066,0.07,0.079,0.092,0.136,0.193,0.325,0.49,0.64,0.709,0.798
Montenegro,"Beauty, Health, Personal & Household Care",Revenue,Household Care,million USD (US$),Statista,0.594,0.69,0.814,1.06,1.336,1.602,2.335,3.04,3.907,4.286,4.774
Montenegro,"Beauty, Health, Personal & Household Care",Revenue,Personal Care,million USD (US$),Statista,3.921,4.57,5.399,6.581,8.144,8.615,11.27,13.12,15.36,16.71,18.26
Montenegro,"Beauty, Health, Personal & Household Care",Revenue Change,Total,percent,Statista,,16.103,17.708,22.439,23.861,7.754,33.234,18.931,19.101,9.002,9.701
Montenegro,"Beauty, Health, Personal & Household Care",Revenue Change,Beauty Care,percent,Statista,,15.326,16.687,20.838,22.232,6.189,31.162,16.956,17.449,8.856,9.348
Montenegro,"Beauty, Health, Personal & Household Care",Revenue Change,Health Care,percent,Statista,,6.367,12.113,17.148,47.569,41.544,68.987,50.753,30.445,10.833,12.567
Montenegro,"Beauty, Health, Personal & Household Care",Revenue Change,Household Care,percent,Statista,,16.162,17.971,30.221,26.038,19.91,45.755,30.193,28.52,9.701,11.386
Montenegro,"Beauty, Health, Personal & Household Care",Revenue Change,Personal Care,percent,Statista,,16.552,18.14,21.893,23.75,5.783,30.818,16.415,17.073,8.789,9.276
Montenegro,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Total,USD (US$),Statista,108.6,103.6,103.1,107.9,117.5,111.5,135.3,150.5,168.4,170.2,174.9
Montenegro,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,37.4,35.44,34.94,36.13,38.8,36.3,43.37,47.41,52.32,52.82,54.09
Montenegro,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Health Care,USD (US$),Statista,1.855,1.621,1.536,1.539,1.996,2.489,3.831,5.398,6.615,6.801,7.17
Montenegro,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Household Care,USD (US$),Statista,28.14,26.85,26.76,29.81,33.03,34.89,46.31,56.37,68.05,69.25,72.24
