Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,Electronics,Revenue Change,Household Appliances,percent,Statista,,7.196,8.425,15.847,9.721,8.759,35.551,27.179,28.074,7.763,9.992
Morocco,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,83.39,78.56,73.46,83.53,82.35,67.98,91.49,105.3,121.8,123.6,128.1
Morocco,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,67.35,68.83,69.99,85.41,90,77.77,110.6,130.9,155.1,162.7,173.8
Morocco,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,14.38,11.45,9.185,8.3,7.2,6.373,7.298,8.29,9.568,9.333,9.401
Morocco,Electronics,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Morocco,Electronics,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Morocco,Electronics,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Morocco,Electronics,Online & Offline Split,Offline,percent,Statista,93.102,92.6,91.912,89.955,88.837,86.27,83.632,80.315,76.442,,
Morocco,Electronics,Online & Offline Split,Online,percent,Statista,6.898,7.4,8.088,10.045,11.163,13.73,16.368,19.685,23.558,,
Morocco,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,45.525,42.736,41.903,40.567,39.117,37.794,36.314,35.107,33.861,,
Morocco,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,54.475,57.264,58.097,59.433,60.883,62.206,63.686,64.893,66.139,,
Morocco,Electronics,Users by Segment,Total,million users,Statista,4.611,5.555,6.669,7.826,9.009,10.166,11.206,11.99,12.782,13.68,14.516
Morocco,Electronics,Users by Segment,Consumer Electronics,million users,Statista,5.207,5.814,6.438,7.122,7.69,8.188,8.607,8.935,9.27,9.595,9.883
Morocco,Electronics,Users by Segment,Household Appliances,million users,Statista,2.349,3.161,4.274,5.478,6.929,8.514,10.078,11.283,12.525,13.828,15.11
Morocco,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,14.633,16.138,17.653,19.295,20.591,21.678,22.534,23.143,23.764,24.349,24.838
Morocco,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,12.958,15.419,18.285,21.204,24.124,26.913,29.339,31.058,32.765,34.719,36.482
Morocco,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,6.602,8.775,11.717,14.843,18.554,22.539,26.387,29.226,32.108,35.093,37.975
Morocco,Consumer Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18.156,,,,,,
Morocco,Consumer Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,33.141,,,,,,
Morocco,Consumer Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.513,,,,,,
Morocco,Consumer Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.986,,,,,,
Morocco,Consumer Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.2,,,,,,
Morocco,Consumer Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,25.072,,,,,,
Morocco,Consumer Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,74.928,,,,,,
Morocco,Consumer Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.944,,,,,,
Morocco,Consumer Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.393,,,,,,
Morocco,Consumer Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.663,,,,,,
Morocco,Consumer Electronics,Revenue,Total,million USD (US$),Statista,350.7,400.2,450.6,608.3,692.1,636.8,951.6,"1,169","1,437","1,561","1,718"
Morocco,Consumer Electronics,Revenue,Computing,million USD (US$),Statista,61.39,73.68,83.05,109.4,121.2,111,165.2,201.9,246.7,267.7,294.1
Morocco,Consumer Electronics,Revenue,Other Consumer Electronics,million USD (US$),Statista,128.8,147,165.5,223.4,254.1,233.8,349.4,429.4,527.8,573.3,630.7
Morocco,Consumer Electronics,Revenue,Telephony,million USD (US$),Statista,106.3,119,134,184.3,212,197.2,297.7,369.3,458.1,498.1,549.2
Morocco,Consumer Electronics,Revenue,"TV, Radio & Multimedia",million USD (US$),Statista,51.87,57.92,65.14,87.17,100.1,91.47,135.9,166.1,203.3,220.7,242.5
Morocco,Consumer Electronics,Revenue,TV Peripheral Devices,million USD (US$),Statista,2.398,2.685,3.023,4.059,4.656,3.281,3.431,2.613,1.503,1.501,1.311
Morocco,Consumer Electronics,Revenue Change,Total,percent,Statista,,14.115,12.594,34.998,13.776,-7.99,49.435,22.846,22.926,8.629,10.058
Morocco,Consumer Electronics,Revenue Change,Computing,percent,Statista,,20.02,12.717,31.728,10.786,-8.416,48.829,22.215,22.189,8.512,9.862
